ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
87.0,240,12,111.0,32.0,0,0.0,100.0,0,7.0,0,32.0,2,13.0,3,0,0,0.2,0.1,1,1,0,27,Good
92,210,12,105.0,67.0,0,0.0,100.0,0,7.0,8.0,47.0,12,20,1,1.0,0,23.4,13,11,2,5,27.7,Good
0,349,0,104.0,35.0,0,0.0,100.0,0,6.0,0,38.0,0,43.0,0,0,0,0,0,5,1,1,15.79,Good
86,219,12,61.0,29.0,0,0,97.0,0,6.0,6,29.0,2.0,13.79,0,1,0,0,88,5,4,0,17.24,Good
59.0,210,11.0,79.0,38.0,0,1.0,76.0,7,4.0,5,43.0,6,50.0,0,1.0,1.0,65,78,7,10,2,40,Bad
92,150,6,63.0,38.0,0,0.0,100.0,0,7.0,8.0,40.0,1.0,38,0,2,1.0,25,67,5,10,3,38,Bad
78,157,15.0,93.0,10.0,2.0,0,91.0,40,6.0,6,11.0,0.0,20,2,0.0,0,0,0,0,0,0,0,Good
82,125,5,75.0,14.0,4.0,5,79.0,16,6.0,3.0,19.0,1.0,53.0,0,0.0,0.0,0.2,0.35,1,6,2,36.8,Bad
70.0,178,6.0,114.0,16.0,0,0,88.0,12,6.0,6.0,16.0,0,18.75,6.0,0.0,0,43.75,16,7,3,0,43.75,Bad
57.0,121,6,63.0,7.0,4.0,4.0,70.0,57,0.0,0,11.0,5,36.4,0,0,0.0,22,78,1,2,0,27.3,Bad
76.0,150,6,80.0,48.0,0.0,0,100.0,72,5.0,8.0,49.0,2.0,20.0,0,2.0,2,0.35,0.20,9,2,1,22.45,Good
60.0,96,12,48.0,16.0,0,0,81.0,5,4.0,4,16.0,2,18.75,4,3,2.0,55,74,2,3,0,31.25,Good
,,,72.0,40.0,,0.0,100.0,Never Had Delinquency,7.0,,43.0,,55.35,2,,,,No Installment Burden,2,23.8,,60,Good
650,240,12,113.0,26.0,0,0,100.0,0,7.0,0,32.0,6,27.0,2,1,1,25.0,50,2,2,3,12.5,Good
86,223,7.0,68.0,8.0,2.0,2,60.0,30,5.0,5,10.0,1.0,50.0,7,1,0.0,89,87,3,5,2,80,Bad
86,219,4.0,103.0,25.0,1.0,0,92.0,21,6.0,5.0,26.0,6,8,0,0.0,0,2,0,2,1,0,12,Good
86,115,8,58.0,24.0,0,0.0,96.0,50,6.0,5.0,25.0,2,16.0,4,1,1.0,40.0,52,1,4,0,20.0,Good
82.0,247,12,99.0,28.0,0,0,100.0,120,7.0,8.0,32.0,5,12.5,15,1,0.0,20,30,5,2,3,15.6,Good
83.0,0,0,45.0,14.0,0,0,100.0,0,7.0,0,16.0,0,44.0,0,0,0,25,0,2,0,0,44,Bad
78,150,6.0,94.0,26.0,2,1,71.0,3,4.0,5,28.0,5,54.0,5,0.0,0,30,77,5,9,1,18,Bad
70.0,189,2,112.0,25.0,0,0,100.0,0,7.0,8.0,25.0,2,28.0,0,1.0,0,86,30,9,7,1,64,Bad
69.0,0,0,97.0,19.0,0.0,0.0,100.0,0,7.0,0,13.0,0,0,0,0,0,40,0,8,0,0,0,Bad
85,219,24,89.0,19.0,1.0,0.0,90.0,71,6.0,6,20.0,0.0,60.0,0,1,0,94,53,1,6,2,35,Bad
92,151,7.0,85.0,14.0,0,0.0,100.0,0,7.0,8.0,14.0,10,85.7,7,0,0,25,75,2,12,0,100,Good
78,28,10.0,65.0,52.0,0,1.0,98.0,1,4.0,6.0,54.0,6,22.22,1,2.0,1,30,56,6,12,0,33.33,Bad
85,180,24,102.0,18.0,1.0,0.0,95.0,64,6.0,5.0,19.0,0.0,53.0,0,1,0,0.12,0.38,1,3,0,21.1,Good
86,240,12,110.0,14.0,0,0,93.0,3,3.0,5.0,31.0,5,26.0,4,2,1,0.30,0.20,5,4,3,29.0,Good
86,13,1,8.0,3.0,0.0,0,100.0,0,7.0,8.0,3.0,2.0,33.33,1,3,3.0,2,2,1,1,0,67,Bad
720,180,6,101.0,8.0,1.0,0.0,89.0,14,6.0,12,9.0,2,44.4,13,0.0,0,12,63,1,4,1,71,Good
600,200,12,80.0,48.0,0,0.0,100.0,1,7.0,7,48.0,6,30,1,1,0,30,92,3,24,2,56,Good
86,172,4.0,86.0,34.0,0,0,89.0,3,0.0,0,33.0,5,36,3,1.0,1,16,33,11,11,2,67,Good
76.0,120,6,55.0,10.0,0,0,100.0,0,7.0,0,10.0,0.0,50,0,1,1,40,36,2,5,1,71,Bad
88.0,513,,133.0,25.0,,,100.0,Never Had Delinquency,7.0,,25.0,,16.0,14,,,,No Installment Burden,3,No Installment Loans,,,Good
66.0,219,12,73.0,25.0,5.0,5.0,88.0,63,6.0,6,35.0,5,59.0,0,1,0,100,121,4,21,1,100,Bad
86,148,7.0,65.0,17.0,0,0,83.0,31,6.0,8,18.0,2,11.1,0,0,0,28,48,2,2,0,22.2,Good
70.0,0,0,103.0,7.0,1.0,0,100.0,0,6.0,0,0.0,0,25.0,0,0,0,78,81,4,0,1,0,Good
0,0,1.0,37.0,14.0,0,0,100.0,0,7.0,0,22.0,9.0,40.0,0,0,0,0,100,5,0,0,73,Good
86,240,12,147.0,27.0,0,0,96.0,6,5.0,7.0,27.0,3,15.0,0,2,1,30.0,55,5,4,0,33.33,Good
85,325,12,79.0,39.0,0,0.0,98.0,6,5.0,7,41.0,2,12.2,0,2.0,2,30,80,3,5,1,57,Bad
86,219,97,86.0,22.0,0,0.0,100.0,0,7.0,7,23.0,5,60.9,0,0.0,0.0,31,64,4,14,1,80,Good
76.0,,4.0,69.0,32.0,,,97.0,25,6.0,,34.0,,13.0,No Credit Inquiry,,1.0,,54,4,,,,Good
87.0,241,2.0,93.0,17.0,0.0,0.0,100.0,0,7.0,8.0,18.0,0,17.0,0,0,0,0,0,5,1,0,33.33,Good
91.0,0.0,0.0,104.0,6.0,0,0,100.0,0.0,7.0,8.0,6.0,0,0.0,0.0,0,0,1,0.0,2,0,0,60,Good
86.0,180,6,82.0,13.0,0,0,93.0,26,6.0,6.0,14.0,1.0,30.0,0,1,0.0,0.3,0.2,3,2,1,44,Good
76.0,270,5.0,97.0,19.0,3.0,3.0,95.0,62,6.0,6.0,5.0,0.0,20.0,5,0.0,0.0,70.0,70,4,1.0,0.0,100.0,Good
91.0,378,0,275.0,4.0,0,0,100.0,0,7.0,0,4.0,4,0.0,0,1.0,1,0,0,1,0,0,25.0,Good
86,120,3.0,68.0,28.0,0.0,0,97.0,17,6.0,6,30.0,4.0,33.0,0,1,1.0,70,86,4,4,1,67,Good
0,0,0,96.0,31.0,0,0.0,100.0,0,7.0,8.0,31.0,1.0,0,0,3.0,0,0,0,1,0,0,0,Good
71.0,0,0,156.0,10.0,0,0,91.0,12,6.0,0,7.0,0,0,0,0,0,0,0,2,0,0,0,Good
0,0,0,67.0,19.0,0,0,95.0,31,6.0,6.0,19.0,0.0,0,16,0.0,0.0,54,57,1,0,0,0,Good
70,120,12,66.0,35.0,0,0.0,100.0,0,7.0,0,36.0,2,47.0,0,0,0,30,77,5,1,0,62,Bad
89.0,180,0,90.0,19.0,0,0,100.0,0,7.0,0,20.0,1.0,16.0,0,0,0,1,0,2,1,0,33,Good
78,61,16.0,63.0,5.0,0,0,67.0,16,6.0,6,13.0,6,30.0,2,1.0,1.0,0.35,0.22,2,2,1,30.77,Bad
80.0,110,12,61.0,27.0,0,0,100.0,0,7.0,8.0,25.0,4.0,33.0,18,0,0.0,30.0,92,3,4,2,28.0,Bad
86,219,12,62.0,12.0,0,0,100.0,120,7.0,0,12.0,1,8.33,6,0,0,0.2,57,8,1,2,66.67,Bad
73,150,2,86.0,18.0,5.0,1.0,60.0,42,6.0,9,25.0,2.0,56,0,4.0,3.0,42,58,1,14,3,60,Good
0,0,0,49.0,28.0,0.0,0,100.0,0,7.0,0,28.0,0,0,0,1.0,1.0,0,42,3,0,0,0,Good
85,150,6,68.0,19.0,0,0.0,100.0,120,7.0,0,19.0,2,45.0,3,1,1,19,55,2,6,0,42.1,Good
83.0,240,4.0,60.0,18.0,0,0,100.0,0,7.0,8.0,18.0,2,16.67,3,2,1,20,81,1,3,0,22.22,Good
65.0,210,5.0,54.0,28.0,0,1.0,90.0,6,4.0,4.0,31.0,2.0,58.0,0,0.0,0.0,51,62,4,2,5,19.4,Bad
60.0,9,1,5.0,5.0,0,0,100.0,0,7.0,8.0,5.0,5.0,20,0,7.0,7.0,36,12,2,1,1,80,Bad
86,219,100,93.0,52.0,0,0.0,100.0,0,7.0,0,55.0,5,22.0,6,0.0,0,0,71,3,12,0,27.27,Good
86,203,30,78.0,40.0,0.0,0.0,98.0,63,6.0,6,42.0,13,55.0,12,2,1,7.14,88,3,12,2,35.71,Bad
74.0,390,0,98.0,37.0,0,0,100.0,0,7.0,0,38.0,0,23.7,0,0,0,10.5,64,4,9,1,33,Good
0,0,0,80.0,52.0,0,0,96.0,10,4.0,0,77.0,0,13.0,6,0.0,0,0,0,2,0,0,0,Bad
86,252,120,99.0,26.0,0,1.0,89.0,38,5.0,3.0,28.0,6,14.29,10,1,0.0,2,15,3,2,0,17.86,Good
81.0,370,12,78.0,25.0,0,0.0,96.0,24,6.0,6,26.0,1.0,42.0,0,0,0,0,67,1,7,0,30.77,Good
0,0,0,44.0,13.0,0.0,0,94.0,21,6.0,0,16.0,0,0,0,0,1.0,0,66,4,3,1,80,Good
0,0,5.0,67.0,19.0,1.0,0,83.0,19,6.0,5.0,23.0,0,13.04,5,0,0.0,0,66,2,3,0,21.74,Good
850,108,7.0,60.0,30.0,0,0.0,100.0,108,7.0,0,30.0,3,30.0,0,1.0,0,71,68,7,9,4,53.33,Good
