ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,MSinceMostRecentDelq_never,MSinceMostRecentInqexcl7days_never,MSinceOldestTradeOpen_no_trades,MSinceMostRecentDelq_no_trades,MSinceMostRecentInqexcl7days_no_trades,NetFractionRevolvingBurden_no_trades,NetFractionInstallBurden_no_trades,NumRevolvingTradesWBalance_no_trades,NumInstallTradesWBalance_no_trades,NumBank2NatlTradesWHighUtilization_no_trades,PercentTradesWBalance_no_trades,RiskPerformance
72.0,166.0,0.0,55.622522529477266,19.120392364060823,0.2664930791675162,0.23122440153467771,100.0,38.31303263479114,6.698947927213539,7.868492518625496,19.0,3.2231068105245853,42.37843066046371,-1.0276902117065512,7.0,6.783984865390988,36.0,78.13709454552925,4.371841199794903,3.1500909902389256,1.0252354925800335,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
62.0,220.0,3.0,77.90419322385256,15.19235879925781,0.33184769845726025,0.0,85.06203175649213,24.478652061429614,5.245528927310948,5.295832368568893,15.0,1.0,30.058972724900713,2.053110828311526,1.0,0.9445442618199437,93.0,70.70783715737205,5.497699426424315,1.197361326056336,2.871768018215218,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Good
79.0,140.0,15.0,81.03790475619896,25.329475594360623,1.0,0.6034263354437858,88.1584299384132,18.0,4.920509544550766,5.08493563673067,25.39169202518791,1.4846982968360476,32.169794374650095,3.5119921739444204,1.0514802194064783,0.9857050793935402,0.0,74.0,0.9127138246139221,2.341677974972705,-0.4336529880591389,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
86.0,310.0,10.0,106.26273897944971,23.549801508333697,0.03478410156963552,0.055803947658018244,101.62118650307804,44.94031867033945,7.0484504193150705,8.035742287514605,25.408962994576143,1.6971194059347674,24.961070709488503,3.2893661491843296,2.0,1.9238983279226265,3.0,61.44958741192737,2.8829282742409026,1.2110189898392987,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bad
69.0,153.0,10.0,66.9505132340114,16.61065487294786,0.6700554785080777,0.377641910078392,86.64291972472859,29.130523197670584,5.261032398791459,5.136894020573461,18.58779300117475,1.6573226263354135,47.62021409855612,2.3639274790908273,1.0827408263228187,1.034564269504435,51.0,83.0,2.0,3.0249744109607053,0.7721151519955185,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
77.0,195.0,3.0,53.0,29.37991130670561,-0.04575089511957664,0.0,103.9435175228223,39.21572695209173,6.889647592547105,8.01718110182686,31.509063586535415,8.0,21.580872751115525,2.056208933362375,2.0,1.9543889499403915,1.0,74.85991749772501,4.431963625875128,1.9406468142574607,0.28559805683706374,36.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Good
59.0,219.0,4.0,70.02650756506961,26.335649008400058,1.187537992078378,0.7702260151798862,83.8930533994615,9.1183961643016,4.07584427173974,5.0,28.94199891935673,2.5942244361336932,39.82559974969975,1.996184463222265,1.1637785097059465,1.1302593773892218,41.0,70.75527021094938,5.821837580374572,4.0,1.6439019287749268,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
76.0,169.0,32.0,95.0,21.986331605635574,0.0,-0.04973755691953052,92.0,26.632044600856943,5.161735152575781,5.557418142082744,21.745739167087383,0.854490956972608,24.77910024048775,3.3839397976777152,1.0766115064052808,1.001235106084227,3.0,44.192093070448976,2.5729695367403886,1.1485436619293505,0.14639174700601854,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bad
76.0,187.0,10.0,71.16870455910338,22.66282971231554,0.4981467499263905,0.40635121932261564,97.4330840988969,29.057060268008485,6.047004971584366,7.819900449407465,23.98374547403156,2.0479313193131494,50.0,3.0228737130518346,1.1262419883258363,1.0936868478464687,1.0,53.0,2.4592189499973482,3.2435823925870944,-0.03040980238086255,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
54.0,316.0,30.0,129.327245910098,17.71521173229206,10.0,7.408951033473752,58.581485783947166,8.2133752783148,1.8844261892795493,0.5179806354475023,26.217028287161344,0.19343517008784694,39.78849656227839,2.8075942851559907,0.02891871308218745,0.0,38.0,44.4604597832776,2.508191320199631,2.6653874441872776,0.572722565659137,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
