ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,MSinceMostRecentDelq_never,MSinceMostRecentInqexcl7days_never,MSinceOldestTradeOpen_no_trades,MSinceMostRecentDelq_no_trades,MSinceMostRecentInqexcl7days_no_trades,NetFractionRevolvingBurden_no_trades,NetFractionInstallBurden_no_trades,NumRevolvingTradesWBalance_no_trades,NumInstallTradesWBalance_no_trades,NumBank2NatlTradesWHighUtilization_no_trades,PercentTradesWBalance_no_trades,RiskPerformance
72.0,166.0,0.0,47.0,18.0,0.026525715113118853,0.0,100.0,37.428963805024665,7.0,8.0,19.0,3.0,68.0,-1.0740262043723485,7.0,7.0,36.0,60.0,2.0,3.0,1.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
62.0,220.0,13.124600635417448,79.0,12.0,0.22070174922440433,0.0,84.80011784136248,18.66121458722624,4.0,6.0,15.0,1.0,21.0,3.0,1.0,1.0,93.0,60.920031351092,4.0,0.8749931017628958,3.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Good
75.9931443763389,140.0,15.0,70.0,24.0,1.0,0.7314543011482065,96.0,18.0,6.0,5.0,25.0,0.0,35.60356641548047,0.0,3.0,1.0,0.0,74.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
86.0,310.0,10.0,123.0,22.0,0.0,0.0,100.0,42.6604125053191,6.937572511692974,8.0,22.0,1.4347881645524714,32.0,0.0,2.0,2.0,3.0,61.13241472711822,1.0,2.0,-0.2586368555300482,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bad
64.12960508846402,153.0,8.321744240955663,62.0,8.0,0.0,0.0,75.0,11.0,4.0,6.0,9.735383374615525,1.0,50.0,2.5565357062442815,0.0,0.0,51.0,83.0,2.0,2.0,0.8260191705344746,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
77.0,195.0,3.0,53.0,33.0,0.0,0.004204088232972469,100.0,39.55117363781312,7.0,8.0,33.0,8.0,21.0,2.0828193183823376,2.0,2.0,1.0,74.89199592670226,4.993304518355347,1.0,0.36182688517352046,36.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Good
59.0,219.0,4.0,84.0,30.0,1.0,0.0,91.0,26.0,6.0,5.0,32.0,3.0,44.0,2.0,4.0,4.0,41.0,89.0,9.0,4.0,2.6441763797406703,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Good
73.61010501959153,169.0,32.0,95.0,12.0,0.0,0.0,85.39577191092897,11.0,4.0,6.0,12.0,0.0,50.0,3.7090656403331255,0.0,0.0,3.0,44.69573661149711,1.0,2.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Bad
76.0,187.0,10.0,48.0,18.0,0.0,0.0,100.0,33.1635057809203,7.0,8.0,46.0,2.1589033150605386,50.0,8.0,1.0,0.0,1.0,53.0,2.0,2.0,1.0,57.651063633645755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
55.41728823926778,316.0,30.0,132.0,8.0,10.0,6.0,54.60988492710099,4.0,2.4156784656932384,3.0,19.0,0.0,47.0,2.556079436980205,0.0,0.0,38.0,60.0,2.0,2.8090869768744113,0.24141862995334096,77.66627451394177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
